Date : 2025-06-26 19:26:32
Directory : c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework
Total : 108 files,  6849 codes, 207 comments, 892 blanks, all 7948 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        105 |      6,404 |        198 |        888 |      7,490 |
| XML      |          1 |        427 |          7 |          0 |        434 |
| PostCSS  |          1 |         13 |          2 |          4 |         19 |
| JSON     |          1 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TopSellingBrandDto.cs              | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TopSellingProductDto.cs            | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TotalSalesSummaryDto.cs            | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\OrderRelated\OrderPageResultDto.cs                  | C#       |         14 |          0 |          3 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\OrderRelated\UpdateOrderStatusDto.cs                | C#       |         13 |          0 |          1 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\AdminFilterDto.cs                    | C#       |         15 |          0 |          1 |         16 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\AdminProductCardDto.cs               | C#       |         26 |          0 |          3 |         29 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\AdminProductReviewDto.cs             | C#       |         16 |          0 |          1 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\BrandDto.cs                          | C#       |         13 |          0 |          1 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateBrandDto.cs                    | C#       |         11 |          0 |          1 |         12 |
