"filename", "language", "XML", "Markdown", "PowerShell", "JSON", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Microsoft.Owin.Security.OAuth.3.0.1\lib\net45\Microsoft.Owin.Security.OAuth.XML", "XML", -1637, 0, 0, 0, 0, -1, -1638
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\LICENSE.md", "Markdown", 0, -16, 0, 0, 0, -5, -21
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\README.md", "Markdown", 0, -56, 0, 0, 0, -16, -72
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\net20\Newtonsoft.Json.xml", "XML", -10393, 0, 0, 0, 0, -1, -10394
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\net35\Newtonsoft.Json.xml", "XML", -9541, 0, 0, 0, 0, -1, -9542
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\net40\Newtonsoft.Json.xml", "XML", -9741, 0, 0, 0, 0, -1, -9742
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\net45\Newtonsoft.Json.xml", "XML", -11363, 0, 0, 0, 0, -1, -11364
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\net6.0\Newtonsoft.Json.xml", "XML", -11325, 0, 0, 0, 0, -1, -11326
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\netstandard1.0\Newtonsoft.Json.xml", "XML", -11050, 0, 0, 0, 0, -2, -11052
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\netstandard1.3\Newtonsoft.Json.xml", "XML", -11172, 0, 0, 0, 0, -2, -11174
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.13.0.3\lib\netstandard2.0\Newtonsoft.Json.xml", "XML", -11338, 0, 0, 0, 0, -1, -11339
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.Bson.1.0.2\LICENSE.md", "Markdown", 0, -16, 0, 0, 0, -5, -21
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.Bson.1.0.2\lib\net45\Newtonsoft.Json.Bson.xml", "XML", -545, 0, 0, 0, 0, -1, -546
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.Bson.1.0.2\lib\netstandard1.3\Newtonsoft.Json.Bson.xml", "XML", -545, 0, 0, 0, 0, -1, -546
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\Newtonsoft.Json.Bson.1.0.2\lib\netstandard2.0\Newtonsoft.Json.Bson.xml", "XML", -545, 0, 0, 0, 0, -1, -546
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Buffers.4.5.1\lib\net461\System.Buffers.xml", "XML", -38, 0, 0, 0, 0, 0, -38
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Buffers.4.5.1\lib\netstandard1.1\System.Buffers.xml", "XML", -38, 0, 0, 0, 0, 0, -38
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Buffers.4.5.1\lib\netstandard2.0\System.Buffers.xml", "XML", -38, 0, 0, 0, 0, 0, -38
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Buffers.4.5.1\ref\net45\System.Buffers.xml", "XML", -38, 0, 0, 0, 0, 0, -38
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Buffers.4.5.1\ref\netstandard1.1\System.Buffers.xml", "XML", -38, 0, 0, 0, 0, 0, -38
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Buffers.4.5.1\ref\netstandard2.0\System.Buffers.xml", "XML", -38, 0, 0, 0, 0, 0, -38
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\PACKAGE.md", "Markdown", 0, -24, 0, 0, 0, -11, -35
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\buildTransitive\net461\System.Data.SqlClient.targets", "XML", -6, 0, 0, 0, 0, -1, -7
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\buildTransitive\netcoreapp2.0\System.Data.SqlClient.targets", "XML", -6, 0, 0, 0, 0, -1, -7
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\lib\net462\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\lib\net6.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\lib\net8.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\lib\netstandard2.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\runtimes\unix\lib\net6.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\runtimes\unix\lib\net8.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\runtimes\win\lib\net6.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.Data.SqlClient.4.9.0\runtimes\win\lib\net8.0\System.Data.SqlClient.xml", "XML", -3563, 0, 0, 0, 0, -13, -3576
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\System.IO.xml", "XML", -2151, 0, 0, 0, 0, 0, -2151
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\de\System.IO.xml", "XML", -2151, 0, 0, 0, 0, 0, -2151
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\es\System.IO.xml", "XML", -2090, 0, 0, 0, 0, 0, -2090
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\fr\System.IO.xml", "XML", -2201, 0, 0, 0, 0, 0, -2201
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\it\System.IO.xml", "XML", -2123, 0, 0, 0, 0, 0, -2123
