"filename", "language", "C#", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Mappers\CartMapper.cs", "C#", 29, 0, 0, 0, 0, 4, 33
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Mappers\OrderMapper.cs", "C#", 49, 0, 0, 0, 0, 4, 53
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Mappers\ProductMapper.cs", "C#", 201, 0, 0, 0, 10, 12, 223
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191417492_InitialSetup.Designer.cs", "C#", 24, 0, 0, 0, 1, 5, 30
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191417492_InitialSetup.cs", "C#", 314, 0, 0, 0, 0, 22, 336
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191820160_OrderEntityAdded.Designer.cs", "C#", 24, 0, 0, 0, 1, 5, 30
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191820160_OrderEntityAdded.cs", "C#", 65, 0, 0, 0, 0, 5, 70
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506210835379_AddOrderStatusToOrder.Designer.cs", "C#", 24, 0, 0, 0, 1, 5, 30
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506210835379_AddOrderStatusToOrder.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\Configuration.cs", "C#", 17, 0, 0, 0, 3, 4, 24
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\CartModels\Cart.cs", "C#", 56, 0, 0, 0, 0, 11, 67
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\CartModels\CartItem.cs", "C#", 20, 0, 0, 0, 0, 3, 23
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\OrderModels\Order.cs", "C#", 38, 0, 0, 0, 0, 17, 55
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\OrderModels\OrderItem.cs", "C#", 28, 0, 0, 0, 0, 9, 37
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\Brand.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\Category.cs", "C#", 19, 0, 0, 0, 0, 1, 20
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\FilterAttribute.cs", "C#", 15, 0, 0, 0, 0, 1, 16
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\FilterAttributeValue.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\Product.cs", "C#", 35, 0, 0, 0, 0, 13, 48
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductAttributeValue.cs", "C#", 18, 0, 0, 0, 0, 1, 19
